model_name	task_type	dataset	setting	n_success	AUROC_mean	AUROC_sd	AUPR_mean	AUPR_sd	ACC_mean	ACC_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Brier_mean	Brier_sd	ECE_mean	ECE_sd	NLL_mean	NLL_sd	loss_mean	loss_sd	schema_note	source_root	source_file
ISG-MDA	MDA	MDR	drug_cold	25	0.5355710125789891	0.08157799997391543	0.5491036883701754	0.06689647815017723	0.5301040900049927	0.04621791083675595	0.3309121386894623	0.11807664767380933	0.0691471568501939	0.11076786108432615	0.3921723268946028	0.05370219435048561	0.35534367919761023	0.06689287086969628	2.0524338435400677	0.6456551126365676			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDR	mirna_cold	25	0.9011587618500977	0.008430941225998904	0.8805028842201981	0.012620753757447386	0.8300114853651402	0.009446215308990162	0.8334139979618491	0.010845929017077278	0.6613710064817038	0.01944791623010597	0.12879229420294785	0.007775508400836195	0.06905585766411816	0.011791369202519063	0.4666145008531057	0.03962681269872616			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDR	random	25	0.9145775605522738	0.0078014256594942525	0.8976981530789291	0.01026770483903128	0.8417375231053604	0.010706968518062895	0.8482554990516918	0.009266771684221476	0.6867280091730779	0.02008777481790392	0.11836729607451814	0.007178305281728109	0.06032145805333717	0.011713538651939399	0.41591543556462923	0.030121842780593728			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDR	scaffold_cold	25	0.5816613465055674	0.08160067982599258	0.58394269063465	0.07659758298079374	0.5462008457696479	0.05653625796300229	0.38103383967876153	0.1191434607049055	0.10587945530027848	0.13015395431449353	0.36515702626796104	0.05761355875928913	0.3244665211021641	0.07338832716026163	1.7128598086761238	0.5611398453867875			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDR	strict_cold	25	0.5485739524094339	0.03420847290528536	0.5526359206956784	0.03246767811611457	0.5341926337713663	0.024161292094011386	0.4413002118461332	0.0823821020998935	0.0725403257831679	0.04988716269685464	0.4174830165042229	0.02345995068626048	0.3984290952424594	0.025635497268195192	2.7703834932697595	0.37969837475059715			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	drug_cold	25	0.6696461464361079	0.08012367144435151	0.6353500555971031	0.0757050799666875	0.5786684698651713	0.0577915190449641	0.4089818367630309	0.1501332437390508	0.17960299801128982	0.1264354378004372	0.3273909631070393	0.060419023687118385	0.2973259629325698	0.07111918943463044	1.3459366420303647	0.4554921736462799			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	mirna_cold	25	0.8996706809152387	0.010415545193126414	0.8806218489601182	0.015394099473741443	0.8357785932992975	0.010061731533160671	0.8394339991193064	0.011115522252139258	0.6731383288157867	0.019778643155333002	0.12715630890262677	0.007355589316923551	0.07093161560922627	0.012358572477332868	0.47903493765108024	0.03279901640183137			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	random	25	0.9123404958904082	0.006163526560289118	0.8980190690774792	0.008877875907015286	0.8488427299703264	0.009373703076715032	0.8531690764832076	0.009611298453971776	0.6995710624329053	0.01863218162084277	0.11846393586199466	0.005911033626098938	0.06695604685338102	0.009850329513660305	0.4405246687093788	0.02808309742312794			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	scaffold_cold	25	0.5922415296692303	0.08190239664633546	0.5768623052001481	0.07134306912669704	0.5424592413479749	0.051766735714924586	0.35746834996215104	0.13236449189853142	0.0973481124325325	0.11741236128705557	0.3660375672947484	0.059901426978443105	0.328604080913989	0.07389973208650062	1.605304764409274	0.48532278158501035			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	strict_cold	25	0.5716993017185932	0.040144855328131314	0.5668909442859466	0.04638808579962256	0.5490159411680804	0.0302774892116881	0.5296085147408267	0.053068639352451825	0.09962237841640466	0.06112809488911292	0.39217662733484737	0.030745639990532977	0.36799264762097744	0.034795955378570366	2.169081107592334	0.3887452680164825			after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv
