model_name	cold_setting	n_matched_seeds	loss_mean	loss_sd	loss_min	loss_max
MSMCDA	circrna_cold	25	0.007464791591703261	0.04069971238499816	-0.05579511834319517	0.1014901026461299
MSMCDA	disease_cold	25	0.336722459084403	0.11121612457581087	0.09618367646339676	0.5095869995218244
Bi-SGTAR	circrna_cold	25	0.0528779729555465	0.04553714160956369	-0.07364168093708079	0.114874479485912
Bi-SGTAR	disease_cold	25	0.05347917777877268	0.0483915387876145	-0.04403057369951202	0.14535947651119274
