dataset	setting	similarity_bin	valid_seed_count	seed_count_with_bin	mean_AUROC	sd_AUROC	mean_raw_AUPR	sd_raw_AUPR	mean_normalized_AUPR	sd_normalized_AUPR	prevalence_mean	prevalence_sd	n_test_drugs_mean	n_test_drugs_sd	n_test_pairs_mean	n_test_pairs_sd	mean_max_train_drug_tanimoto	high_gt_low_count_AUROC	high_low_valid_seed_count_AUROC	high_gt_low_count_AUPR_raw	high_low_valid_seed_count_AUPR_raw
MDR	drug_cold	High	24	24	0.6864667398695857	0.1405223457179193	0.7495827430558931	0.15670763703577414	0.3692986113160129	0.274372252625707	0.610449643650804	0.19607080878180266	2.8	1.6072751268321592	443.8	252.4887786285429	0.8413887074247465	22	24	21	24
MDR	drug_cold	Medium	24	24	0.5845703333547879	0.13406999806828498	0.5379987246952523	0.17617706941187392	0.14626409332929358	0.17174607248734228	0.4429528113134645	0.211380950584489	4.84	2.4610295948376297	524.76	271.63383441684874	0.5416273437212964	22	24	21	24
MDR	drug_cold	Low	25	25	0.4846265150535604	0.07349532568974776	0.43683122872949987	0.10624929340025661	0.009325562860537975	0.10376209721096875	0.4323419288141953	0.09199351311028717	15.92	8.133879763065101	1474.64	336.63306928068334	0.1998361791315214	22	24	21	24
MDS	drug_cold	High	25	25	0.6972638547251983	0.11078598325414447	0.6937990154987733	0.23085395775532314	0.3353396201027384	0.2333179042194681	0.5662053125178805	0.25865843132416017	4.32	2.0149441679609885	514.72	304.81545236421334	0.849064517001645	16	25	16	25
MDS	drug_cold	Medium	25	25	0.6683096228430905	0.12765705346629214	0.43704284290124257	0.2535800418787912	0.23614019185524718	0.24263059133738094	0.29213935252349305	0.1928292074597054	5.92	2.6758176320519302	368.84	180.4530594549914	0.5392317052337726	16	25	16	25
MDS	drug_cold	Low	25	25	0.639311324786917	0.10436501314715493	0.5757005353915043	0.13285568460288133	0.21813618879320315	0.17760104900278817	0.4635624385620259	0.09867418706414674	18.6	7.297259759663212	1365.72	362.3194400893591	0.21338806030926383	16	25	16	25
