dataset	subgroup	comparison	candidate_seed_pairs	candidate_count	unique_drug_count	seed_count	mean_paired_difference	median_paired_difference	left_greater_rate	seed_positive_rate	mean_seed_median_difference	seed_median_bootstrap_ci_low	seed_median_bootstrap_ci_high	seed_level_wilcoxon_p	inference_status	seed_level_wilcoxon_p_holm	drug_level_wilcoxon_p	drug_level_wilcoxon_p_holm	drug_seed_positive_rate	mean_drug_seed_median_difference	upstream_source
MDR	all	High_vs_Low	1200	50	17	24	-0.023145281272785118	0.0008851289749146	0.5816666666666667	0.7916666666666666	0.0013600227733453	0.0006033443845808508	0.002159745680789149	0.0017795562744140625	CONFIRMATORY	0.003559112548828125	0.0004944801330566406	0.0009889602661132812	0.7916666666666666	0.0015074445141686245	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	non_metal	High_vs_Low	1056	44	15	24	0.0036410182770906054	0.001273512840271	0.625	0.8333333333333334	0.0018562699357668442	0.000965811032801845	0.0028893109411001062	0.00014960765838623047	CONFIRMATORY	0.00029921531677246094	0.00010764598846435547	0.00021529197692871094	0.8333333333333334	0.001957621425390235	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	metal	High_vs_Low	144	6	2	24	-0.21957814463854042	-0.080056220293045	0.2638888888888889	0.041666666666666664	-0.19958401677043489	-0.2662302009218062	-0.13879818387019138	2.384185791015625e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	7.152557373046875e-07	1.1920928955078125e-07	4.76837158203125e-07	0.0	-0.21957814463854045	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	all	High_vs_Low	1200	50	18	24	-0.031450488674454394	0.001111626625061017	0.6325	1.0	0.0023528710007667424	0.0010910740122198899	0.004302711784839618	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.0024107419368293403	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	non_metal	High_vs_Low	1056	44	16	24	0.011383831105900532	0.0019340813159942165	0.7026515151515151	1.0	0.0033480376005172743	0.0018209960932532964	0.0055147556898494645	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.003541986354523225	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	metal	High_vs_Low	144	6	2	24	-0.3455688337303905	-0.20109686255455017	0.11805555555555555	0.0	-0.3345488394455363	-0.4403017101770577	-0.22866308165830565	1.1920928955078125e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	0.0	-0.34556883373039055	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
