model_name	task_type	dataset	setting	seed	AUROC	AUPR	ACC	F1	MCC	Brier	ECE	NLL	loss	train_loss_final	test_loss	run_status	run_dir	source_file	schema_note	upstream_source
ISG-MDA	MDA	MDR	random	10	0.9167946501481133	0.8986650268431691	0.8424214417744916	0.852060737527115	0.6907329406462998	0.1165012552502142	0.06240957873507394	0.40560854741702435		0.25324190129175506	0.405608543186223	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_10	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	11	0.9194032923216745	0.9031978180306706	0.8456561922365989	0.8536371603856266	0.6954604830907376	0.11607730565430763	0.0634756782970198	0.40869681763162274		0.2655829676485249	0.4086968225604285	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_11	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	12	0.9214187118398529	0.9083505845701898	0.8525878003696857	0.8610021786492374	0.710401515173932	0.11076586490306355	0.04951569627064239	0.3882448185704339		0.2531890306448821	0.38824481972925323	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_12	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	13	0.911642282895029	0.891860415406929	0.8285582255083179	0.8397408207343412	0.6636104585832416	0.12490679862143605	0.07889544997397557	0.43637664708543883		0.26621889739671023	0.4363766453623111	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_13	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	14	0.9150350552307803	0.9004459390758558	0.8419593345656192	0.8453887884267631	0.684592644489604	0.11836278324224332	0.059250133954469875	0.42624652462612284		0.24780619116902325	0.42624652727254	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_14	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	15	0.9194293445765185	0.9043225326904492	0.8401109057301294	0.8485113835376532	0.6844441950597903	0.11446864037013192	0.05381128883310686	0.3876134134348805		0.27518640718467796	0.3876134156079037	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_15	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	16	0.9165311379966584	0.8926154242618587	0.8498151571164511	0.8556197245668592	0.7019029756186219	0.11204456328810386	0.04340804444972743	0.3835527252464743		0.27037690596413627	0.3835527270536546	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_16	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	17	0.8934291942421954	0.873713403185614	0.8100739371534196	0.8276729559748428	0.6335030885837787	0.13997712227074316	0.0932012885937761	0.49843553546426905		0.24844411481580606	0.4984355389300644	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_17	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	18	0.9084852621113089	0.8916221489594812	0.8313308687615527	0.8375611927013796	0.6646200654655277	0.12383054040156498	0.06757632995958594	0.4417179873766362		0.2634852949756209	0.4417179878009225	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_18	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	19	0.9173302161739232	0.9025055746463901	0.844731977818854	0.8539130434782609	0.6949756927724462	0.11491464530591533	0.056214928455432085	0.40141453405464506		0.27590827107236743	0.4014145328685669	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_19	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
