dataset	subgroup	strategy	row_count	seed_count	candidate_count	drug_count	mean_absolute_delta	trimmed_mean_10pct	median_absolute_delta	q75	q90	q95	maximum	upstream_source
MDR	non_metal	High	1056	24	44	15	0.013606897498847815	0.005907492434724799	0.0027428269386291	0.009876087307929899	0.03215467929840085	0.04828855395317073	0.8047240376472473	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDR	non_metal	Middle	1056	24	44	15	0.004385341128165028	0.00185809673710631	0.00097292661666865	0.003559559583663875	0.0082602798938751	0.015262618660926774	0.1552397012710571	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDR	non_metal	Low	1056	24	44	15	0.009965879221757208	0.0019334419399288046	0.00111439824104305	0.0031340569257735746	0.01029393076896665	0.030071049928665126	0.6953759342432022	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDR	non_metal	Random	1056	24	44	15	0.00966381380390936	0.0024806599245003275	0.0011515319347381	0.004500895738601625	0.0160872638225555	0.03370846807956693	0.805372029542923	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDS	non_metal	High	1056	24	44	16	0.017391407269645776	0.00810988279099155	0.0036024749279022	0.0139805376529693	0.043393790721893255	0.07904981076717373	0.6661938726902008	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDS	non_metal	Middle	1056	24	44	16	0.004303972603696723	0.0018002346475073168	0.0009418129920959	0.00332371890544885	0.008809208869933999	0.015912100672721825	0.2264388799667358	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDS	non_metal	Low	1056	24	44	16	0.006007576163745243	0.0016956627368926503	0.0009980499744415	0.00299285352230065	0.00839883089065545	0.0145964920520782	0.7153294831514359	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
MDS	non_metal	Random	1056	24	44	16	0.007398912344466512	0.0024563189657585078	0.0012463331222534	0.004260525107383675	0.0130875706672668	0.026234060525894127	0.5208678841590881	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv
