Resource	Platform	Dataset	Metric	Top fraction	n_runs	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman_median	Enrichment ratio	Empirical_p_median	upstream_source
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	abs_spearman_rho	0.1	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.058 ± 0.04366	0.0004	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_05	0.01	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.467 ± 1.166	0.477	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_05	0.05	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.169 ± 0.4822	0.449	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_05	0.1	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.16 ± 0.4846	0.495	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_1	0.01	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.246 ± 1.013	0.49	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_1	0.05	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.289 ± 0.4255	0.175	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_fdr_lt_0_1	0.1	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.228 ± 0.4122	0.291	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_p_lt_0_05	0.01	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.269 ± 0.3778	0.0791	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_p_lt_0_05	0.05	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.229 ± 0.1833	0.0128	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDR	is_p_lt_0_05	0.1	26	28246	58	487	0.03574 ± 0.006516	2.6e-09	1.22 ± 0.1303	0.0003	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	abs_spearman_rho	0.01	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.032 ± 0.09338	0.359	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	abs_spearman_rho	0.05	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.078 ± 0.04779	0.0005	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	abs_spearman_rho	0.1	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.077 ± 0.03934	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_05	0.01	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.266 ± 1.198	0.54	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_05	0.05	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.619 ± 0.7005	0.149	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_05	0.1	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.584 ± 0.5032	0.0117	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_1	0.01	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.116 ± 0.9509	0.625	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_1	0.05	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.572 ± 0.6039	0.0722	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_fdr_lt_0_1	0.1	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.556 ± 0.4235	0.0089	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_p_lt_0_05	0.01	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.183 ± 0.3463	0.216	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_p_lt_0_05	0.05	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.311 ± 0.1698	0.0003	formal_runs/table_exports/external_enrichment_final_summary.tsv
DepMap_PRISM_CCLE	CCLE/PRISM	MDS	is_p_lt_0_05	0.1	26	30380	62	490	0.03985 ± 0.007161	1.13e-12	1.276 ± 0.1381	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
