n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
348	201	147	0.5775862068965517	0.7296849087893864	0.800224617057198	0.5270623587476525	MDR	drug_cold	8	High	2	0.7973593763904824	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
573	462	111	0.806282722513089	0.4586794586794587	0.8037440654680938	-0.013104959340380204	MDR	drug_cold	8	Medium	2	0.6061184137239612	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1329	462	867	0.3476297968397291	0.3518976217938156	0.28300370995238044	-0.0990635172702265	MDR	drug_cold	8	Low	12	0.22874105756788865	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
351	190	161	0.5413105413105413	0.5285714285714286	0.5883047700024704	0.1024532563407894	MDR	drug_cold	9	High	3	0.817646084876098	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
772	495	277	0.6411917098445595	0.6547934215804252	0.7433253162504077	0.2846467297664792	MDR	drug_cold	9	Medium	6	0.5886977834990753	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1457	605	852	0.4152367879203844	0.5029624025142592	0.4501169197312807	0.05964830052638024	MDR	drug_cold	9	Low	17	0.19242053512283425	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
585	478	107	0.8170940170940171	0.8567629922183553	0.9620399364515893	0.7924613348054179	MDR	drug_cold	10	High	3	0.7645734312400978	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
299	111	188	0.3712374581939799	0.5409718228867165	0.38178377679463316	0.01677313437018788	MDR	drug_cold	10	Medium	5	0.47097816329757647	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1664	685	979	0.41165865384615385	0.484863893590212	0.4217540058932967	0.017159004909546166	MDR	drug_cold	10	Low	25	0.20402919565900793	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
616	450	166	0.7305194805194806	0.4941164658634538	0.732916670448033	0.00889559636137526	MDR	drug_cold	11	High	5	0.8448799360663767	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
600	301	299	0.5016666666666667	0.5799508883432039	0.6316339835211848	0.26080398031006985	MDR	drug_cold	11	Medium	9	0.5627941739511849	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
954	334	620	0.350104821802935	0.5040757195286846	0.3511544144533566	0.001615018368551936	MDR	drug_cold	11	Low	18	0.24593156590029053	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
537	411	126	0.7653631284916201	0.7456262310276909	0.8975806027405016	0.5634982831083281	MDR	drug_cold	12	High	2	0.9841622823669796	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
340	61	279	0.17941176470588235	0.413655326399906	0.1685066536419133	-0.013289382658600274	MDR	drug_cold	12	Medium	4	0.5165986595841179	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1299	616	683	0.47421093148575827	0.6184732178509631	0.5417806100623459	0.1285109992254573	MDR	drug_cold	12	Low	11	0.20547334832464367	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
109	67	42	0.6146788990825688	0.8329779673063255	0.8739492030990654	0.6728681699475746	MDR	drug_cold	13	High	2	0.8585908969448653	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
362	175	187	0.48342541436464087	0.6708326967150496	0.6083504240555018	0.2418334412197414	MDR	drug_cold	13	Medium	8	0.5003632499648557	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1719	853	866	0.49621873182082604	0.42420447869088584	0.4759317188254568	-0.040269486534687864	MDR	drug_cold	13	Low	42	0.20004034236427412	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
895	618	277	0.6905027932960894	0.5364983117778322	0.6735480205192328	-0.054781666553381576	MDR	drug_cold	14	High	7	0.7433800593292454	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
661	500	161	0.75642965204236	0.46618633540372667	0.7542817496745342	-0.008818406615732029	MDR	drug_cold	14	Medium	4	0.5624860635126466	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1404	362	1042	0.25783475783475784	0.5047321873575041	0.25904763307377043	0.0016342388057328943	MDR	drug_cold	14	Low	23	0.22192229220664694	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
649	476	173	0.7334360554699538	0.6545392723563414	0.8398063497326825	0.39904231778330024	MDR	drug_cold	15	High	3	0.9586869517953936	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
323	72	251	0.22291021671826625	0.6923417441345728	0.4110488915293514	0.24210674089235265	MDR	drug_cold	15	Medium	4	0.486076560510323	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1348	612	736	0.4540059347181009	0.5496989556692242	0.501156085339828	0.0863565258669676	MDR	drug_cold	15	Low	12	0.2361694802238961	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
0	0	0					MDR	drug_cold	16	High	0		False	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
438	135	303	0.3082191780821918	0.7736707004033737	0.5374326953486357	0.33133835169208725	MDR	drug_cold	16	Medium	2	0.45206110725333	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
2026	1097	929	0.5414610069101679	0.5727343287741399	0.6499517774284003	0.23660096993534865	MDR	drug_cold	16	Low	7	0.1394061977201953	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
199	133	66	0.6683417085427136	0.8291182501708818	0.8743568399455172	0.6211668355933018	MDR	drug_cold	17	High	2	0.780222903840994	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
