Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDS	abs_spearman_rho	0.05	505	10094	51	198	0.0156919999786963	0.1149198772633902	0.159484677247068	0.1454008000944035	1.0968624460355128	0.0017996400719856	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.05	505	10094	51	198	0.0156919999786963	0.1149198772633902	0.1881188118811881	0.1601941747572815	1.1743174317431742	0.0521895620875824	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.05	505	10094	51	198	0.0156919999786963	0.1149198772633902	0.0297029702970297	0.0244699821676243	1.213853369142582	0.2649470105978804	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.05	505	10094	51	198	0.0156919999786963	0.1149198772633902	0.0158415841584158	0.0065385377451951	2.422802280228023	0.0145970805838832	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.1	1010	10094	51	198	0.0156919999786963	0.1149198772633902	0.159623117942877	0.1454008000944035	1.0978145776312065	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.1	1010	10094	51	198	0.0156919999786963	0.1149198772633902	0.198019801980198	0.1601941747572815	1.236123612361236	0.0003999200159968	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.1	1010	10094	51	198	0.0156919999786963	0.1149198772633902	0.0346534653465346	0.0244699821676243	1.4161622639996794	0.0221955608878224	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.1	1010	10094	51	198	0.0156919999786963	0.1149198772633902	0.0118811881188118	0.0065385377451951	1.817101710171017	0.0291941611677664	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.01	94	9307	49	190	0.0284394342433946	0.0060729177059075	0.1871266330265767	0.1462989120118008	1.2790705717037911	0.0003999200159968	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.01	94	9307	49	190	0.0284394342433946	0.0060729177059075	0.2446808510638297	0.1602019984957559	1.5273270830657704	0.0217956408718256	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.01	94	9307	49	190	0.0284394342433946	0.0060729177059075	0.0638297872340425	0.0234232298270119	2.7250634393909814	0.023995200959808	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
