model_name	task_type	dataset	setting	n_success	AUROC_mean	AUROC_sd	AUPR_mean	AUPR_sd	F1_mean	F1_sd	ECE_mean	ECE_sd	Brier_mean	Brier_sd	NLL_mean	NLL_sd	schema_note	source_root	source_file	upstream_source
Bi-SGTAR	CDA	Dataset1	random	25	0.5496984676223431	0.037551920371524355	0.5157676022526776	0.03288802293405928	0.5286282309264717	0.02938227303675835	0.057781037540495905	0.014926989073151672	0.24720307700856728	0.004326721718023884	0.6873138432886532	0.009013978435681858		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	circrna_cold	25	0.49682049466679656	0.03777883241819883	0.5237148873954446	0.034672438798688726	0.513189604668242	0.0354853473961314	0.0322416312550481	0.019494905510266364	0.2501593054252049	0.0005917308731798686	0.693466092534031	0.0011839753999530417		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	disease_cold	25	0.49621928984357033	0.05004663016608481	0.5791714638206484	0.025439127453083615	0.7304074535384131	0.019022091878545356	0.15643172803788014	0.02990083686820769	0.24996750916968213	0.00033217414363501054	0.6930821705294475	0.0006644351502827787		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	strict_cold	25	0.5	0.0	0.5	0.0	0.6666666666666667	1.1331166295920987e-16	0.0	0.0	0.25	0.0	0.6931471805599452	1.586363281428938e-16		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	random	25	0.9308591715976333	0.021721982143568484	0.9062214049163755	0.032271389006387145	0.8671054208744252	0.047237597907979996	0.13358876729538088	0.02563646556498189	0.11200882848533601	0.018164760001756076	0.38189781791772875	0.040776209587277845		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	circRNA_cold	25	0.9233943800059299	0.047307448390057356	0.8911293357679206	0.06728396393481935	0.8864231303747553	0.034162901303977575	0.14670251638738965	0.025409940270522346	0.10987789119987931	0.025801368276591415	0.3912413281824799	0.0959557546070409		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	disease_cold	25	0.5941367125132301	0.11793045176700859	0.6140636046717558	0.0913098438692707	0.3929907961744046	0.13520773430482172	0.24788192289286573	0.050768881324407766	0.28958356448883327	0.05160037460274957	0.8755426054382726	0.2369308301497999		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	strict_cold	25	0.6487149900812982	0.15119690393594454	0.6642903927850006	0.1276347111389113	0.44642619747682283	0.19277790398334244	0.28484455392074715	0.06798960099124755	0.26997496832291695	0.0637494621785403	0.7822682032007486	0.1955131293239981		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
