dataset	subgroup	comparison	candidate_seed_pairs	candidate_count	unique_drug_count	seed_count	mean_paired_difference	median_paired_difference	left_greater_rate	seed_positive_rate	mean_seed_median_difference	seed_median_bootstrap_ci_low	seed_median_bootstrap_ci_high	seed_level_wilcoxon_p	inference_status	seed_level_wilcoxon_p_holm	drug_level_wilcoxon_p	drug_level_wilcoxon_p_holm	drug_seed_positive_rate	mean_drug_seed_median_difference	upstream_source
MDR	all	High_vs_Low	1200	50	17	24	-0.023145281272785118	0.0008851289749146	0.5816666666666667	0.7916666666666666	0.0013600227733453	0.0006033443845808508	0.002159745680789149	0.0017795562744140625	CONFIRMATORY	0.003559112548828125	0.0004944801330566406	0.0009889602661132812	0.7916666666666666	0.0015074445141686245	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	all	High_vs_Middle	1200	50	17	24	0.00891427678366502	0.0009663403034210475	0.645	0.9583333333333334	0.0015272038678328214	0.0009066209817926038	0.002292498822013536	5.960464477539062e-07	CONFIRMATORY	2.384185791015625e-06	5.960464477539062e-07	2.384185791015625e-06	0.9583333333333334	0.0017477456066343313	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	all	High_vs_Random	1200	50	17	24	0.0038265959918498977	0.0007410049438476998	0.6225	0.9166666666666666	0.0012801140546798656	0.0006684557534754224	0.002023463696241367	0.0001832608969158505	CONFIRMATORY	0.0005497826907475516	0.09509599208831787	0.09509599208831787	0.7083333333333334	0.0009562853309843224	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	all	Low_vs_Random	1200	50	17	24	0.026971877264635017	6.854534149164474e-05	0.5333333333333333	0.625	0.00012085090080897269	-1.4688571294146485e-05	0.00026747221127152457	0.21821892261505127	CONFIRMATORY	0.21821892261505127	0.00010764598846435547	0.0003229379653930664	0.125	-0.0006660156779819048	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	non_metal	High_vs_Low	1056	44	15	24	0.0036410182770906054	0.001273512840271	0.625	0.8333333333333334	0.0018562699357668442	0.000965811032801845	0.0028893109411001062	0.00014960765838623047	CONFIRMATORY	0.00029921531677246094	0.00010764598846435547	0.00021529197692871094	0.8333333333333334	0.001957621425390235	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	non_metal	High_vs_Middle	1056	44	15	24	0.009221556370682787	0.0009936094284057999	0.6363636363636364	0.9583333333333334	0.0018043729166189783	0.0009858155933519079	0.0028172131006916298	2.384185791015625e-07	CONFIRMATORY	9.5367431640625e-07	2.384185791015625e-07	9.5367431640625e-07	0.9583333333333334	0.0019737697309917747	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	non_metal	High_vs_Random	1056	44	15	24	0.003943083694938456	0.0008429288864136001	0.6335227272727273	0.9583333333333334	0.001543860882520666	0.0007275970031817721	0.0025025374876955966	3.6597251892089844e-05	CONFIRMATORY	0.00010979175567626953	0.28966712951660156	0.28966712951660156	0.5416666666666666	0.0010825167927477058	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	non_metal	Low_vs_Random	1056	44	15	24	0.0003020654178478501	-1.4275312423699983e-05	0.4943181818181818	0.4166666666666667	-4.7309945027020136e-05	-0.00021420040478306688	0.0001232745746771597	0.3902466297149658	CONFIRMATORY	0.3902466297149658	3.6597251892089844e-05	0.00010979175567626953	0.125	-0.0008875516553719858	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	metal	High_vs_Low	144	6	2	24	-0.21957814463854042	-0.080056220293045	0.2638888888888889	0.041666666666666664	-0.19958401677043489	-0.2662302009218062	-0.13879818387019138	2.384185791015625e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	7.152557373046875e-07	1.1920928955078125e-07	4.76837158203125e-07	0.0	-0.21957814463854045	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	metal	High_vs_Middle	144	6	2	24	0.006660893145534725	0.0008509755134582	0.7083333333333334	0.7916666666666666	0.005990921209255852	0.0024042563512921243	0.00999965568383533	0.0009626150131225586	DESCRIPTIVE_ONLY_LT5_DRUGS	0.0019252300262451172	0.0009626150131225586	0.0019252300262451172	0.7916666666666666	0.006660893145534727	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
